2024-01-25T06:21:18+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20
2024-01-25T07:12:49+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T07:52:05+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T07:53:40+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T07:56:00+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T08:16:14+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T08:16:46+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T08:17:33+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:18:18+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:18:32+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:19:09+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:19:45+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:20:24+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:22:24+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:27:25+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:28:13+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:28:18+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:38:43+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:39:44+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T11:41:37+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:22:39+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:27:32+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:28:02+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:29:36+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:30:50+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:31:37+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:32:52+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:35:19+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:37:08+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:43:17+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:44:08+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:44:49+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:48:51+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:48:58+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:51:19+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:51:33+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:52:30+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:53:11+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:54:00+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:55:35+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:55:36+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:57:51+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T12:59:01+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:01:59+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:02:14+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:02:31+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:02:57+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:03:37+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:04:27+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:06:53+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:07:54+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:08:34+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:09:20+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:09:23+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:19:04+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:19:24+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:26:47+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:27:35+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:28:22+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:31:30+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T13:33:16+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

